Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud,Latitud
2022S000672    ,10,Sant Martí,65,el Clot,169409,Corts Catalanes                                   ,0823 0833,Divendres,2022,2,Febrer,4,14,Tarda,No és causa del  vianant,0,1,0,1,2,432254.86 ,4584222.48,2.18838225237361,41.4048481826111
2022S006326    ,10,Sant Martí,65,el Clot,89004,Consell de Cent / Vintró                          ,0621 0621,Dijous,2022,10,Octubre,20,17,Tarda,No és causa del  vianant,0,1,0,1,2,432073.7  ,4584402.87,2.18619482595847,41.4064576008619
2022S006434    ,10,Sant Martí,72,Sant Martí de Provençals,153205,Guipúscoa                                         ,0060 0060,Dimarts,2022,10,Octubre,25,9,Matí,No és causa del  vianant,0,1,0,1,2,432977.52 ,4585446.64,2.19689151576013,41.4159344752797
2022S007953    ,10,Sant Martí,72,Sant Martí de Provençals,30409,Bac de Roda / Huelva                              ,0204 0204,Dimecres,2022,12,Desembre,28,21,Tarda,No és causa del  vianant,0,2,0,2,2,432699.04 ,4585390.07,2.19356586975734,41.4154016704272
2022S003654    ,10,Sant Martí,72,Sant Martí de Provençals,3406,Joaquín Maurín                                    ,0312 0314,Dimarts,2022,6,Juny,14,21,Tarda,Creuar per fora pas de vianants,0,1,0,1,1,433077.23 ,4586050.11,2.19801768983840,41.4213780704980
2022S002848    ,10,Sant Martí,65,el Clot,18505,Aragó                                             ,0594 0594,Dijous,2022,5,Maig,12,15,Tarda,No és causa del  vianant,0,2,0,2,2,432184.11 ,4584725.86,2.18747943277396,41.4093760056247
2022S005970    ,10,Sant Martí,72,Sant Martí de Provençals,30409,Bac de Roda / Guipúscoa                           ,0201 0201,Dimarts,2022,10,Octubre,4,23,Nit,No és causa del  vianant,0,1,0,1,2,432792.64 ,4585292.45,2.19469661685307,41.4145302763811
2022S001127    ,10,Sant Martí,65,el Clot,81603,Clot                                              ,0033 0033,Dijous,2022,2,Febrer,24,20,Tarda,No és causa del  vianant,0,0,0,0,1,432207.19 ,4584478.34,2.18778330478198,41.4071486157809
2022S005282    ,10,Sant Martí,72,Sant Martí de Provençals,128106,Fluvià                                            ,0213 0213,Diumenge,2022,9,Setembre,4,7,Matí,No és causa del  vianant,0,0,0,0,2,433055.4  ,4585297.46,2.19783985555536,41.4145973516118
2022S002236    ,10,Sant Martí,72,Sant Martí de Provençals,158504,Huelva / Doctor Zamenhof                          ,0043 0045,Diumenge,2022,4,Abril,17,22,Nit,No és causa del  vianant,0,3,0,3,2,432842.52 ,4585531.47,2.19526684663895,41.4166872329273
